subscription_id,user_id,plan,start_date,end_date,status
174,174,pro,2024-10-19,2024-12-24,canceled
175,175,enterprise,2025-04-07,,active
176,176,free,2025-08-14,,active
177,177,pro,2024-05-13,,active
178,178,free,2025-05-16,2026-03-13,canceled
179,179,pro,2024-03-03,,active
180,180,pro,2025-12-04,,active
181,181,free,2025-01-22,,active
182,182,pro,2025-01-11,,active
183,183,enterprise,2025-04-07,,active
184,184,pro,2024-09-10,,active
185,185,enterprise,2024-08-23,2025-01-18,canceled
186,186,free,2026-02-09,,active
187,187,free,2025-02-27,2025-04-29,canceled
188,188,pro,2024-12-27,,active
189,189,pro,2024-04-05,,active
190,190,free,2024-10-30,,active
191,191,pro,2025-02-13,2025-04-05,canceled
192,192,free,2026-03-18,,active
193,193,free,2024-06-17,,active
194,194,pro,2025-01-26,,active
195,195,pro,2024-09-27,2025-03-24,canceled
196,196,free,2024-05-07,,active
197,197,enterprise,2025-12-15,,active
198,198,enterprise,2026-06-17,,active
199,199,pro,2026-05-25,,active
200,200,free,2026-05-08,2026-08-01,canceled
201,201,free,2024-10-03,,active
202,202,free,2024-11-16,,active
203,203,free,2024-05-03,,active
204,204,enterprise,2026-04-07,2026-08-01,canceled
205,205,free,2024-04-23,,active
206,206,free,2025-09-20,,active
207,207,free,2024-07-08,,active
208,208,enterprise,2025-02-07,2025-04-23,canceled
209,209,free,2024-10-14,,active
210,210,free,2025-03-10,,active
211,211,pro,2025-09-18,,active
212,212,free,2024-08-24,,active
213,213,free,2024-03-29,,active
214,214,free,2025-12-31,,active
215,215,pro,2024-06-28,2024-12-06,canceled
216,216,free,2024-08-29,,active
217,217,free,2025-07-30,,active
218,218,pro,2025-12-21,,active
219,219,free,2025-02-19,2025-04-06,canceled
220,220,pro,2025-11-25,,active
221,221,free,2025-06-02,2025-08-11,canceled
222,222,free,2024-11-26,,active
223,223,enterprise,2025-11-04,2026-01-19,canceled
224,224,enterprise,2024-11-13,,active
225,225,free,2025-12-01,,active
226,226,free,2026-01-06,,active
227,227,pro,2025-06-09,,active
228,228,enterprise,2024-04-29,,active
229,229,free,2024-09-02,,active
230,230,pro,2025-03-28,,active
231,231,pro,2024-04-09,2024-12-19,canceled
232,232,free,2025-06-08,2025-10-07,canceled
233,233,free,2025-12-22,,active
234,234,free,2025-03-15,,active
235,235,free,2025-09-25,,active
236,236,enterprise,2024-12-06,,active
237,237,free,2025-11-22,,active
238,238,free,2025-09-04,,active
239,239,free,2024-08-22,,active
240,240,free,2025-11-10,,active
241,241,free,2026-04-23,,active
242,242,free,2025-05-26,,active
243,243,free,2024-06-20,2025-01-25,canceled
244,244,pro,2025-02-13,,active
245,245,pro,2024-03-05,,active
246,246,pro,2024-11-02,2025-05-11,canceled
247,247,free,2024-05-19,2024-10-09,canceled
248,248,enterprise,2024-03-01,2024-06-22,canceled
249,249,pro,2026-03-03,,active
250,250,pro,2025-06-05,2025-11-04,canceled
251,251,enterprise,2024-11-03,,active
252,252,pro,2025-07-02,,active
253,253,free,2024-05-26,2024-09-13,canceled
254,254,free,2024-03-04,,active
255,255,enterprise,2024-06-26,,active
256,256,free,2025-07-31,,active
257,257,free,2026-02-21,2026-04-08,canceled
258,258,free,2025-11-23,,active
259,259,free,2024-07-13,2025-02-14,canceled
260,260,free,2024-06-06,2025-03-01,canceled
261,261,free,2024-03-03,2024-10-09,canceled
262,262,pro,2025-07-26,,active
263,263,pro,2026-03-07,2026-08-01,canceled
264,264,enterprise,2025-07-03,,active
265,265,enterprise,2025-08-03,,active
266,266,free,2025-05-14,,active
267,267,enterprise,2026-06-05,2026-08-01,canceled
268,268,free,2024-04-14,2024-08-08,canceled
269,269,enterprise,2025-05-31,2026-02-18,canceled
270,270,free,2025-03-01,2025-05-10,canceled
271,271,free,2024-10-24,,active
272,272,free,2025-05-19,,active
273,273,enterprise,2026-06-25,,active
274,274,enterprise,2025-07-31,,active
275,275,pro,2024-09-01,,active
276,276,free,2025-01-14,,active
277,277,free,2025-11-15,,active
278,278,pro,2024-11-05,,active
279,279,enterprise,2025-07-06,,active
280,280,free,2026-02-14,,active
281,281,free,2026-02-03,,active
282,282,free,2024-07-21,2024-09-28,canceled
283,283,enterprise,2025-06-01,2026-02-28,canceled
284,284,enterprise,2024-05-11,,active
285,285,enterprise,2024-12-23,2025-11-18,canceled
286,286,free,2025-11-18,,active
287,287,free,2025-08-07,,active
288,288,free,2026-01-10,,active
289,289,free,2025-03-23,,active
290,290,free,2026-02-17,,active
291,291,pro,2025-11-12,2026-03-01,canceled
292,292,pro,2024-12-28,,active
293,293,enterprise,2026-01-22,,active
294,294,free,2025-01-19,,active
295,295,pro,2024-11-09,,active
296,296,enterprise,2024-07-30,,active
297,297,enterprise,2024-07-09,,active
298,298,pro,2025-04-09,,active
299,299,pro,2025-02-07,,active
300,300,enterprise,2026-04-24,,active
301,301,pro,2024-05-16,2025-03-24,canceled
302,302,free,2025-05-17,,active
303,303,free,2025-08-23,2026-02-22,canceled
304,304,pro,2024-04-26,2025-04-14,canceled
305,305,free,2025-01-10,,active
306,306,free,2025-06-20,,active
307,307,pro,2024-06-26,,active
308,308,pro,2026-06-21,,active
309,309,free,2024-04-29,2024-11-06,canceled
310,310,pro,2024-05-02,,active
311,311,free,2025-02-18,,active
312,312,pro,2026-05-28,,active
313,313,pro,2025-09-01,,active
314,314,pro,2026-03-03,,active
315,315,enterprise,2024-12-18,2025-12-08,canceled
316,316,free,2024-04-12,,active
317,317,free,2024-05-09,,active
318,318,free,2024-09-30,,active
319,319,free,2026-01-04,,active
320,320,free,2024-05-03,,active
321,321,pro,2026-06-13,,active
322,322,pro,2025-09-08,,active
323,323,pro,2024-06-22,,active
324,324,free,2024-08-21,2025-03-25,canceled
325,325,free,2025-01-23,2025-04-19,canceled
326,326,free,2025-05-22,,active
327,327,pro,2025-05-31,,active
328,328,enterprise,2025-10-14,,active
329,329,free,2026-01-21,2026-07-02,canceled
330,330,free,2025-04-12,2025-07-23,canceled
331,331,free,2025-08-23,2026-07-29,canceled
332,332,pro,2024-10-17,,active
333,333,free,2025-10-27,2026-03-27,canceled
334,334,pro,2026-06-23,,active
335,335,free,2024-05-09,,active
336,336,pro,2025-10-12,,active
337,337,free,2026-01-12,2026-08-01,canceled
338,338,free,2024-10-26,,active
339,339,pro,2025-03-24,,active
340,340,pro,2026-06-05,,active
341,341,free,2024-07-18,,active
342,342,free,2025-09-14,,active
343,343,pro,2024-03-16,,active
344,344,free,2024-10-02,,active
345,345,free,2025-10-28,,active
346,346,pro,2024-07-03,2025-07-01,canceled
347,347,enterprise,2025-02-19,,active
348,348,free,2025-09-11,2026-08-01,canceled
349,349,free,2025-11-21,,active
350,350,pro,2025-10-03,,active
351,351,free,2024-07-28,2025-06-20,canceled
352,352,free,2024-05-20,,active
353,353,enterprise,2025-09-13,,active
354,354,pro,2026-06-03,,active
355,355,free,2025-06-11,,active
356,356,enterprise,2026-06-21,,active
357,357,enterprise,2025-07-01,,active
358,358,free,2025-01-17,2025-10-18,canceled
359,359,free,2025-02-19,,active
360,360,free,2024-10-08,,active
361,361,pro,2025-09-30,,active
362,362,enterprise,2025-10-15,,active
363,363,free,2025-02-19,,active
364,364,free,2024-06-23,2024-08-01,canceled
365,365,free,2024-05-15,2024-11-24,canceled
366,366,pro,2024-09-18,,active
367,367,free,2024-10-08,2025-06-04,canceled
368,368,enterprise,2024-10-09,,active
369,369,pro,2024-05-15,2025-02-19,canceled
370,370,free,2024-08-06,,active
371,371,free,2024-04-19,,active
372,372,enterprise,2026-07-01,2026-08-01,canceled
373,373,free,2024-10-13,2025-06-22,canceled
374,374,free,2024-08-07,2024-09-22,canceled
375,375,pro,2025-04-29,,active
376,376,enterprise,2025-10-19,,active
377,377,enterprise,2024-08-26,,active
378,378,free,2025-02-16,,active
379,379,enterprise,2024-11-05,,active
380,380,free,2025-09-12,2026-05-06,canceled
381,381,free,2024-07-17,2025-03-30,canceled
382,382,pro,2025-04-16,,active
383,383,free,2025-12-22,,active
384,384,pro,2025-09-30,,active
385,385,pro,2024-06-04,2024-11-29,canceled
386,386,free,2025-01-15,,active
387,387,free,2025-05-01,2025-08-31,canceled
388,388,pro,2024-06-17,,active
389,389,free,2025-04-13,2025-08-20,canceled
390,390,free,2026-02-11,,active
391,391,free,2024-12-19,,active
392,392,pro,2025-04-18,,active
393,393,pro,2026-05-18,2026-07-11,canceled
394,394,free,2026-01-23,,active
395,395,free,2026-03-15,2026-07-27,canceled
396,396,free,2026-04-02,,active
397,397,enterprise,2024-05-12,,active
398,398,free,2025-06-08,,active
399,399,free,2026-01-31,,active
400,400,free,2026-02-25,,active
401,401,free,2024-10-28,2025-10-28,canceled
402,402,enterprise,2025-05-29,,active
403,403,pro,2025-08-29,,active
404,404,enterprise,2025-05-23,,active
405,405,free,2025-11-15,2026-07-13,canceled
406,406,free,2026-03-12,,active
407,407,free,2024-09-11,,active
408,408,free,2024-04-12,,active
409,409,free,2024-08-01,,active
410,410,pro,2026-05-06,,active
411,411,free,2026-05-21,,active
412,412,free,2024-03-04,,active
413,413,pro,2025-03-17,,active
414,414,pro,2024-07-25,,active
415,415,free,2024-09-26,2025-02-21,canceled
416,416,pro,2025-12-29,2026-08-01,canceled
417,417,pro,2025-04-02,,active
418,418,free,2024-04-08,,active
419,419,free,2024-06-28,,active
420,420,enterprise,2024-11-05,,active
421,421,pro,2024-11-27,,active
422,422,free,2026-06-01,,active
423,423,free,2025-09-03,,active
424,424,enterprise,2025-01-09,2025-08-16,canceled
425,425,pro,2025-11-16,,active
426,426,free,2025-02-28,2025-09-15,canceled
427,427,enterprise,2024-06-18,,active
428,428,pro,2024-07-12,,active
429,429,pro,2025-01-12,,active
430,430,free,2026-05-18,,active
431,431,pro,2024-06-08,2024-09-26,canceled
432,432,enterprise,2024-05-07,,active
433,433,free,2024-06-01,,active
434,434,pro,2026-03-29,2026-05-15,canceled
435,435,free,2025-08-21,,active
436,436,enterprise,2025-07-13,,active
437,437,pro,2026-05-08,,active
438,438,pro,2024-03-26,2024-12-27,canceled
439,439,free,2024-05-16,2024-12-01,canceled
440,440,free,2025-11-18,,active
441,441,free,2025-10-05,2026-08-01,canceled
442,442,free,2025-11-05,,active
443,443,free,2024-07-30,,active
444,444,pro,2025-02-21,,active
445,445,pro,2025-05-24,2026-04-19,canceled
446,446,free,2025-12-27,,active
447,447,free,2024-09-24,2025-07-15,canceled
448,448,free,2026-01-19,,active
449,449,free,2025-01-26,,active
450,450,pro,2025-04-29,2025-08-11,canceled
451,451,enterprise,2025-12-13,,active
452,452,free,2024-06-25,,active
453,453,pro,2026-03-30,,active
454,454,free,2025-09-29,,active
455,455,pro,2026-05-08,,active
456,456,pro,2024-10-17,,active
457,457,free,2025-01-04,,active
458,458,free,2026-04-05,,active
459,459,enterprise,2025-03-30,,active
460,460,free,2025-08-02,,active
461,461,pro,2025-09-28,,active
462,462,pro,2026-06-05,,active
463,463,pro,2024-11-05,,active
464,464,enterprise,2024-05-26,2025-04-28,canceled
465,465,free,2024-05-10,2024-10-11,canceled
466,466,free,2025-05-24,,active
467,467,pro,2026-04-21,,active
468,468,free,2025-09-11,,active
469,469,pro,2024-04-22,,active
470,470,free,2025-01-04,2025-08-14,canceled
471,471,free,2024-04-14,,active
472,472,pro,2025-04-26,,active
473,473,free,2025-03-31,,active
474,474,pro,2025-11-25,,active
475,475,pro,2025-01-09,,active
476,476,pro,2025-08-26,2026-08-01,canceled
477,477,pro,2024-09-23,,active
478,478,free,2026-05-21,,active
479,479,pro,2026-01-13,2026-05-09,canceled
480,480,pro,2024-10-30,,active
481,481,free,2025-07-04,,active
482,482,free,2024-06-28,,active
483,483,pro,2025-06-27,,active
484,484,pro,2024-08-22,,active
485,485,free,2025-06-02,,active
486,486,free,2024-04-05,,active
487,487,pro,2024-08-16,,active
488,488,free,2026-04-05,2026-05-13,canceled
489,489,pro,2024-11-02,2025-07-13,canceled
490,490,pro,2026-02-03,,active
491,491,free,2025-11-01,,active
492,492,free,2024-09-03,2025-05-04,canceled
493,493,pro,2024-11-29,,active
494,494,pro,2024-05-06,,active
495,495,pro,2024-03-09,,active
496,496,free,2024-06-19,,active
497,497,free,2025-04-22,,active
498,498,free,2024-07-25,,active
499,499,free,2025-07-01,,active
500,500,pro,2026-05-06,,active
